Source,Relation,Target
Application Process,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Collaboration
Application Process,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Interface
Application Process,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Process
Application Process,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Function
Application Process,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Interaction
Application Process,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Event
Application Process,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Service
Application Process,"AccessRelationship,AssociationRelationship",Business Object
Application Process,"AccessRelationship,AssociationRelationship",Contract
Application Process,"AccessRelationship,AssociationRelationship",Representation
Application Process,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Product 
Application Event,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Actor
Application Event,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Role 
Application Event,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Collaboration
Application Event,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Interface
Application Event,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Process
Application Event,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Function
Application Event,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Interaction
Application Event,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Event
Application Event,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Service
Application Event,"AccessRelationship,AssociationRelationship",Business Object
Application Event,"AccessRelationship,AssociationRelationship",Contract
Application Event,"AccessRelationship,AssociationRelationship",Representation
Application Event,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Product 
Application Service,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Actor
Application Service,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Role 
Application Service,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Collaboration
Application Service,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Interface
Application Service,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Process
Application Service,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Function
Application Service,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Interaction
Application Service,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Event
Application Service,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Service
Application Service,"AccessRelationship,AssociationRelationship",Business Object
Application Service,"AccessRelationship,AssociationRelationship",Contract
Application Service,"AccessRelationship,AssociationRelationship",Representation
Application Service,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Product 
Data Object,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Actor
Data Object,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Role 
Data Object,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Collaboration
Data Object,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Business Interface
Data Object,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Process
Data Object,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Function
Data Object,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Interaction
Data Object,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Event
Data Object,"FlowRelationship,AssociationRelationship,RealizationRelationship,TriggeringRelationship,ServingRelationship",Business Service
Data Object,"AccessRelationship,AssociationRelationship",Business Object
Data Object,"AccessRelationship,AssociationRelationship",Contract
Data Object,"AccessRelationship,AssociationRelationship",Representation
Data Object,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Product 
