Source,Relation,Target
Business Event,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Event
Business Event,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Service
Business Event,"AccessRelationship,AssociationRelationship",Data Object
Business Service,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Component
Business Service,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Collaboration
Business Service,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Interface
Business Service,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Function
Business Service,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Interaction
Business Service,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Process
Business Service,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Event
Business Service,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Service
Business Service,"AccessRelationship,AssociationRelationship",Data Object
Business Object,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Component
Business Object,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Collaboration
Business Object,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Interface
Business Object,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Function
Business Object,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Interaction
Business Object,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Process
Business Object,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Event
Business Object,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Service
Business Object,"AccessRelationship,AssociationRelationship",Data Object
Contract,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Component
Contract,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Collaboration
Contract,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Interface
Contract,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Function
Contract,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Interaction
Contract,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Process
Contract,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Event
Contract,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Service
Contract,"AccessRelationship,AssociationRelationship",Data Object
Representation,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Component
Representation,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Collaboration
Representation,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Interface
Representation,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Function
Representation,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Interaction
Representation,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Process
Representation,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Event
Representation,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Service
Representation,"AccessRelationship,AssociationRelationship",Data Object
Product,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Component
Product,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Collaboration
Product,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Interface
Product,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Function
Product,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Interaction
Product,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Process
Product,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Event
Product,"FlowRelationship,AssociationRelationship,TriggeringRelationship,ServingRelationship",Application Service
Product,"AccessRelationship,AssociationRelationship",Data Object
